machine,start,end,peak_risk,mean_risk,n_buckets,hit
Makine 1,2026-05-14 12:00:00+00:00,2026-05-14 14:45:00+00:00,0.89,0.415,166,True
Makine 1,2026-04-02 13:00:00+00:00,2026-04-02 14:49:00+00:00,0.844,0.514,110,True
Makine 1,2026-04-10 12:57:00+00:00,2026-04-10 14:44:00+00:00,0.84,0.458,108,True
Makine 1,2026-04-14 07:10:00+00:00,2026-04-14 14:45:00+00:00,0.837,0.372,455,True
Makine 1,2026-03-27 12:00:00+00:00,2026-03-27 14:54:00+00:00,0.828,0.455,175,True
Makine 1,2026-04-06 13:33:00+00:00,2026-04-06 14:53:00+00:00,0.824,0.599,81,True
Makine 3,2026-04-28 13:00:00+00:00,2026-04-28 14:54:00+00:00,0.819,0.502,115,False
Makine 1,2026-04-03 13:35:00+00:00,2026-04-03 14:41:00+00:00,0.819,0.588,67,True
Makine 3,2026-04-29 12:40:00+00:00,2026-04-29 14:57:00+00:00,0.818,0.47,138,False
Makine 1,2026-04-07 13:48:00+00:00,2026-04-07 14:56:00+00:00,0.817,0.678,69,True
Makine 9,2026-02-11 07:39:00+00:00,2026-02-11 09:08:00+00:00,0.814,0.512,90,True
Makine 1,2026-04-29 13:36:00+00:00,2026-04-29 14:52:00+00:00,0.811,0.559,77,True
Makine 1,2026-03-25 12:45:00+00:00,2026-03-25 14:55:00+00:00,0.81,0.432,131,True
Makine 1,2026-03-31 13:22:00+00:00,2026-03-31 14:52:00+00:00,0.81,0.512,91,True
Makine 1,2026-04-01 13:00:00+00:00,2026-04-01 14:57:00+00:00,0.81,0.475,118,False
Makine 9,2026-05-04 12:53:00+00:00,2026-05-04 14:56:00+00:00,0.807,0.454,124,True
Makine 5,2026-04-01 13:41:00+00:00,2026-04-01 14:54:00+00:00,0.807,0.549,74,False
Makine 3,2026-03-31 13:26:00+00:00,2026-03-31 14:55:00+00:00,0.803,0.505,90,True
Makine 3,2026-03-26 13:50:00+00:00,2026-03-26 14:55:00+00:00,0.802,0.649,66,False
Makine 1,2026-03-30 13:59:00+00:00,2026-03-30 14:47:00+00:00,0.802,0.771,49,True
Makine 3,2026-04-30 13:54:00+00:00,2026-04-30 14:55:00+00:00,0.797,0.732,62,False
Makine 5,2026-04-03 13:22:00+00:00,2026-04-03 14:53:00+00:00,0.793,0.562,92,True
Makine 1,2026-04-08 13:00:00+00:00,2026-04-08 14:52:00+00:00,0.792,0.47,113,True
Makine 1,2026-04-16 13:52:00+00:00,2026-04-16 14:56:00+00:00,0.79,0.67,65,True
Makine 5,2026-05-07 12:29:00+00:00,2026-05-07 14:54:00+00:00,0.784,0.434,146,True
Makine 5,2026-04-22 12:12:00+00:00,2026-04-22 14:56:00+00:00,0.783,0.434,165,True
Makine 5,2026-05-05 10:07:00+00:00,2026-05-05 14:54:00+00:00,0.783,0.369,272,True
Makine 5,2026-04-02 13:45:00+00:00,2026-04-02 14:34:00+00:00,0.783,0.533,50,True
Makine 9,2026-02-06 13:40:00+00:00,2026-02-06 14:55:00+00:00,0.783,0.597,76,False
Makine 1,2026-04-22 12:52:00+00:00,2026-04-22 14:53:00+00:00,0.782,0.442,122,True
Makine 1,2026-04-30 13:58:00+00:00,2026-04-30 14:56:00+00:00,0.782,0.65,59,True
Makine 5,2026-05-08 12:29:00+00:00,2026-05-08 14:43:00+00:00,0.782,0.442,135,True
Makine 1,2026-03-24 13:08:00+00:00,2026-03-24 14:56:00+00:00,0.779,0.441,93,True
Makine 1,2026-04-28 14:00:00+00:00,2026-04-28 14:53:00+00:00,0.779,0.673,54,True
Makine 3,2026-04-22 14:00:00+00:00,2026-04-22 14:52:00+00:00,0.779,0.762,53,True
Makine 5,2026-04-29 10:07:00+00:00,2026-04-29 14:59:00+00:00,0.778,0.374,293,False
Makine 1,2026-05-13 13:49:00+00:00,2026-05-13 14:56:00+00:00,0.776,0.57,68,True
Makine 1,2026-04-13 13:09:00+00:00,2026-04-13 14:48:00+00:00,0.776,0.45,100,True
Makine 5,2026-04-27 12:27:00+00:00,2026-04-27 14:55:00+00:00,0.775,0.508,134,True
Makine 3,2026-04-07 13:43:00+00:00,2026-04-07 14:56:00+00:00,0.774,0.611,74,True
Makine 1,2026-03-26 13:32:00+00:00,2026-03-26 14:55:00+00:00,0.772,0.508,84,False
Makine 3,2026-04-08 14:00:00+00:00,2026-04-08 14:53:00+00:00,0.768,0.683,54,False
Makine 1,2026-04-09 12:51:00+00:00,2026-04-09 14:53:00+00:00,0.767,0.433,123,True
Makine 1,2026-05-15 13:03:00+00:00,2026-05-15 14:44:00+00:00,0.767,0.4,102,True
Makine 5,2026-05-12 12:28:00+00:00,2026-05-12 14:53:00+00:00,0.762,0.404,146,False
Makine 5,2026-05-04 12:43:00+00:00,2026-05-04 14:56:00+00:00,0.761,0.453,134,False
Makine 3,2026-04-01 13:26:00+00:00,2026-04-01 14:54:00+00:00,0.759,0.521,89,True
Makine 3,2026-04-27 12:54:00+00:00,2026-04-27 14:54:00+00:00,0.758,0.454,121,False
Makine 3,2026-03-27 13:59:00+00:00,2026-03-27 14:54:00+00:00,0.754,0.667,56,False
Makine 5,2026-05-11 11:37:00+00:00,2026-05-11 14:53:00+00:00,0.753,0.409,182,True
Makine 1,2026-05-06 13:52:00+00:00,2026-05-06 14:54:00+00:00,0.753,0.655,63,True
Makine 5,2026-04-30 12:30:00+00:00,2026-04-30 14:54:00+00:00,0.752,0.443,145,False
Makine 5,2026-04-08 12:53:00+00:00,2026-04-08 14:55:00+00:00,0.746,0.431,123,False
Makine 9,2026-04-29 13:24:00+00:00,2026-04-29 14:45:00+00:00,0.742,0.442,81,True
Makine 1,2026-05-12 14:00:00+00:00,2026-05-12 14:50:00+00:00,0.733,0.646,51,True
Makine 1,2026-04-15 13:41:00+00:00,2026-04-15 14:56:00+00:00,0.732,0.593,76,True
Makine 9,2026-04-27 07:18:00+00:00,2026-04-27 08:10:00+00:00,0.732,0.54,53,True
Makine 1,2026-05-21 13:49:00+00:00,2026-05-21 14:54:00+00:00,0.729,0.634,66,True
Makine 1,2026-05-04 13:52:00+00:00,2026-05-04 14:54:00+00:00,0.729,0.554,63,True
Makine 9,2026-04-20 06:35:00+00:00,2026-04-20 08:38:00+00:00,0.727,0.411,107,True
Makine 1,2026-04-17 13:52:00+00:00,2026-04-17 14:56:00+00:00,0.719,0.647,65,True
Makine 9,2026-03-26 12:41:00+00:00,2026-03-26 14:50:00+00:00,0.711,0.435,130,True
Makine 3,2026-05-15 13:50:00+00:00,2026-05-15 14:22:00+00:00,0.71,0.528,33,True
